id,name,age,class_name,grade
1,Grace Patel,14,10A,C
2,Charlie Mehta,18,12A,E
3,Bob Roy,15,11A,A
4,Frank Das,14,12B,B
5,Alice Mehta,15,11A,E
6,Charlie Sharma,14,12A,B
7,David Verma,16,10B,A
8,Frank Patel,16,12B,C
9,Alice Sharma,16,12A,D
10,Hannah Singh,17,11A,D
11,Alice Das,16,12A,B
12,Hannah Verma,17,11B,E
13,Jack Verma,14,10B,C
14,Grace Iyer,18,11A,B
15,Grace Khan,17,12A,E
16,Ivan Das,18,12A,B
17,Grace Patel,16,10A,C
18,Charlie Khan,16,10A,A
19,Bob Verma,14,11B,E
20,Frank Sharma,16,11A,A
21,Alice Iyer,18,12A,A
22,Grace Sharma,14,11B,B
23,Grace Singh,16,10A,C
24,Charlie Verma,16,11B,A
25,Jack Iyer,17,11B,E
26,Ivan Verma,17,10A,E
27,Jack Das,14,11A,B
28,Jack Nair,14,10B,E
29,Grace Das,15,10B,E
30,David Sharma,18,10A,D
31,Alice Singh,15,10B,B
32,Eva Iyer,17,11A,B
33,Alice Patel,18,12A,D
34,Frank Iyer,16,12B,D
35,Ivan Das,15,12A,D
36,Ivan Das,18,12B,C
37,Charlie Singh,17,11B,C
38,Eva Roy,14,12A,B
39,Charlie Sharma,17,11B,E
40,Alice Khan,16,12A,E
41,Alice Singh,17,11B,A
42,Grace Singh,17,11A,D
43,David Patel,16,10A,D
44,Charlie Roy,18,10A,B
45,Eva Iyer,15,11B,A
46,Alice Das,15,11A,A
47,Bob Nair,16,11A,D
48,Charlie Iyer,14,11B,C
49,Ivan Nair,14,11B,C
50,Alice Khan,14,10A,A
51,Grace Roy,17,12B,E
52,Bob Das,15,12A,D
53,Charlie Nair,17,12A,A
54,Alice Verma,17,10A,D
55,David Nair,14,10B,D
56,David Verma,17,10A,E
57,Hannah Roy,15,12B,B
58,Eva Verma,17,12A,B
59,Jack Das,16,11A,B
60,Eva Sharma,14,10B,B
61,Jack Khan,16,11A,D
62,Alice Sharma,14,10B,E
63,Bob Mehta,15,10B,E
64,Frank Khan,17,12A,A
65,Alice Das,15,12B,C
66,Eva Nair,14,12A,D
67,Hannah Iyer,14,12A,E
68,David Nair,16,11A,E
69,Alice Patel,14,11B,A
70,Eva Iyer,14,12A,B
71,Frank Mehta,15,12B,A
72,Jack Iyer,17,10B,D
73,Hannah Nair,14,12A,D
74,Hannah Khan,15,10A,D
75,Eva Das,15,11B,C
76,Grace Roy,16,11A,E
77,Eva Roy,16,11A,D
78,Jack Roy,18,11B,B
79,Grace Mehta,17,11B,A
80,Charlie Roy,16,10B,C
81,Grace Das,14,10B,A
82,Grace Patel,14,10A,C
83,Frank Singh,17,12B,A
84,Charlie Verma,18,12A,D
85,Bob Verma,16,12A,A
86,Ivan Singh,16,10B,D
87,Ivan Mehta,17,11A,A
88,David Singh,14,12B,D
89,Eva Verma,17,12B,C
90,Jack Roy,14,12A,E
91,Frank Singh,17,11A,B
92,Grace Patel,14,10B,B
93,Jack Singh,17,12B,B
94,Alice Das,14,11A,B
95,Hannah Mehta,15,12B,D
96,Jack Khan,18,11B,D
97,Charlie Verma,17,12B,E
98,Charlie Khan,14,11B,D
99,Eva Sharma,14,11B,A
100,Eva Patel,17,12B,C
101,Frank Mehta,17,10A,D
102,Charlie Nair,18,11B,D
103,Ivan Roy,14,11A,D
104,Jack Das,14,12A,C
105,Ivan Iyer,17,12B,D
106,David Khan,17,10B,C
107,Eva Verma,16,10B,B
108,Alice Khan,14,11A,C
109,Jack Nair,18,11A,B
110,Charlie Mehta,16,12A,D
111,Alice Roy,14,10B,C
112,Hannah Iyer,14,11A,D
113,Frank Patel,14,11A,B
114,Alice Das,16,10B,E
115,Grace Mehta,16,11A,E
116,Eva Das,16,10B,E
117,Hannah Sharma,14,12A,E
118,Ivan Iyer,18,10B,B
119,Bob Patel,15,11B,D
120,Bob Mehta,18,12B,E
121,Hannah Singh,14,12B,B
122,David Singh,14,11B,B
123,Grace Das,14,10B,A
124,Charlie Verma,14,11A,D
125,Ivan Nair,15,10B,C
126,Ivan Nair,15,12B,B
127,Bob Das,16,10A,A
128,David Singh,15,10A,C
129,Grace Khan,18,12A,C
130,Ivan Mehta,18,12B,D
131,Alice Verma,18,12B,C
132,David Iyer,17,11A,A
133,Hannah Sharma,17,10A,C
134,Hannah Iyer,14,12A,B
135,Hannah Sharma,16,11A,B
136,David Iyer,18,10A,D
137,Charlie Sharma,14,10B,B
138,Alice Mehta,14,11B,B
139,Grace Iyer,14,10B,D
140,Alice Nair,14,12A,C
141,Jack Das,18,10A,C
142,Alice Mehta,16,11A,B
143,Charlie Khan,15,11A,A
144,Charlie Patel,14,11B,C
145,Hannah Nair,16,12A,A
146,Charlie Khan,14,10B,E
147,Frank Singh,14,12B,A
148,Hannah Singh,15,12A,D
149,Grace Verma,17,10A,A
150,Grace Patel,14,11A,C
151,Grace Patel,15,12A,E
152,Hannah Patel,14,10B,D
153,Eva Patel,17,12A,A
154,Frank Khan,17,12B,C
155,Eva Nair,18,12A,D
156,Ivan Iyer,17,10B,E
157,Charlie Singh,18,10B,E
158,Alice Verma,17,10A,C
159,David Iyer,14,11B,A
160,Ivan Patel,14,10B,D
161,Jack Sharma,14,12A,C
162,David Khan,15,11A,D
163,Grace Das,18,10A,E
164,Charlie Iyer,14,12B,B
165,Alice Iyer,16,12B,D
166,Jack Sharma,14,11A,D
167,Grace Nair,18,11A,D
168,Frank Sharma,17,11B,D
169,Frank Verma,14,10A,E
170,Charlie Mehta,14,11B,D
171,Charlie Singh,15,12B,C
172,Frank Iyer,18,11A,C
173,Hannah Verma,14,12A,A
174,Charlie Mehta,17,12B,B
175,Ivan Nair,17,10A,D
176,Hannah Roy,18,12A,A
177,Frank Khan,18,12B,B
178,Frank Iyer,18,11B,A
179,Alice Mehta,15,11A,B
180,Ivan Nair,17,12A,E
181,David Iyer,16,10A,B
182,Eva Mehta,15,12B,C
183,Frank Mehta,15,12B,E
184,Frank Mehta,17,11B,B
185,Grace Verma,18,11A,E
186,Eva Iyer,15,10A,A
187,David Verma,17,11B,C
188,David Verma,18,12A,B
189,Grace Iyer,16,10B,D
190,Bob Singh,16,11A,E
191,Frank Nair,14,12A,B
192,Eva Singh,15,12A,E
193,Alice Patel,15,11B,B
194,Bob Roy,17,11B,D
195,Jack Khan,17,10A,D
196,Alice Verma,15,12A,B
197,Jack Mehta,16,11A,A
198,Charlie Patel,18,11B,E
199,Bob Nair,18,11A,A
200,David Patel,17,10A,D
201,Bob Iyer,14,10A,A
202,David Mehta,18,12A,A
203,David Verma,18,12B,A
204,Ivan Iyer,17,11B,A
205,Grace Nair,15,12B,D
206,Frank Khan,15,11B,D
207,David Mehta,18,12A,A
208,David Sharma,17,12A,D
209,Jack Verma,16,10B,E
210,Charlie Roy,18,11B,B
211,Frank Nair,14,11B,E
212,Charlie Verma,17,11A,C
213,Alice Das,18,10A,B
214,Alice Khan,14,10B,C
215,Hannah Nair,14,11B,E
216,Frank Verma,15,12B,A
217,Ivan Sharma,18,11B,E
218,Ivan Nair,14,12A,D
219,Jack Sharma,15,10A,D
220,Bob Roy,14,10B,C
221,Hannah Sharma,16,11A,D
222,Hannah Singh,14,12B,A
223,David Patel,18,10A,E
224,Ivan Sharma,16,10B,A
225,Hannah Khan,16,12A,D
226,Hannah Sharma,16,12B,B
227,Grace Verma,17,12B,C
228,Alice Sharma,18,11B,C
229,Grace Mehta,14,11B,C
230,Alice Das,17,12A,A
231,David Roy,16,10B,D
232,David Das,18,12B,E
233,Frank Iyer,17,12A,B
234,David Das,18,12B,E
235,Bob Nair,14,10A,D
236,Alice Verma,14,12B,A
237,Frank Das,15,11B,A
238,David Patel,17,10A,E
239,Jack Sharma,14,11B,C
240,Charlie Roy,17,11B,C
241,Ivan Roy,16,11A,B
242,Grace Nair,14,10B,D
243,Frank Verma,14,11A,E
244,Ivan Nair,17,11B,B
245,David Iyer,15,11A,C
246,Charlie Nair,14,11A,E
247,Hannah Das,17,10A,E
248,Grace Nair,18,10B,D
249,Eva Das,18,10A,A
250,David Iyer,15,12A,B
251,Alice Nair,16,12A,B
252,Bob Singh,14,11A,B
253,Hannah Sharma,15,10A,E
254,Jack Das,15,11A,B
255,Alice Das,17,12B,C
256,Grace Patel,17,10B,B
